# //  Questa Sim-64
# //  Version 2019.2_1 linux_x86_64 May 13 2019
# //
# //  Copyright 1991-2019 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Project file /u/rseth/ece571_hw2_yaalu/hw2_yaalu.mpf was not found.
# Unable to open project.
# Loading project ece571_rwb
# reading /pkgs/mentor/questa/2019.2_1/questasim/linux_x86_64/../modelsim.ini
# Loading project hw3_shiftreg
# Compile of regWithBenefits.sv failed with 1 errors.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 2 failed with 3 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
vsim work.test_rwb
#                   55time =  55	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   60time =  60	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   65time =  65	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   70time =  70	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   75time =  75	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   80time =  80	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   85time =  85	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   90time =  90	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   95time =  95	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  100time = 100	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  105time = 105	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  110time = 110	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  115time = 115	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  120time = 120	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  125time = 125	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  130time = 130	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  135time = 135	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  140time = 140	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  145time = 145	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  150time = 150	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  155time = 155	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  160time = 160	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  165time = 165	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  170time = 170	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  175time = 175	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  180time = 180	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  185time = 185	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                  190time = 190	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 0b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
# Simulation concluded!
# ** Note: $stop    : /u/rseth/ece571_rwb/tb_rwb.sv(63)
#    Time: 195 ns  Iteration: 0  Instance: /test_rwb
# Break at /u/rseth/ece571_rwb/tb_rwb.sv line 63
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 500
# Simulation starting...
# 
#                    5	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000000101 - clr 1 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: x -- SERIAL IN: 00000000 -- DATA OUT: xb  x
# Walking a 1 across the register.
# 
#                   10	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001010 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 1b  x
#                   15	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001111 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   20	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000010100 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   25	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011001 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   30	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011110 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   35	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000100011 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   40	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101000 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   45	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101101 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   50	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110010 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   55	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110111 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   60	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000111100 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   65	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000001 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   70	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000110 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   75	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001001011 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   80	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010000 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   85	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010101 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   90	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011010 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                   95	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011111 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  100	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001100100 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  105	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101001 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  110	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101110 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  115	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001110011 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  120	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111000 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  125	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111101 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  130	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000010 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  135	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000111 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  140	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010001100 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  145	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010001 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  150	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010110 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  155	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010011011 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  160	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100000 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  165	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100101 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  170	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101010 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  175	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101111 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  180	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010110100 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  185	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111001 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
#                  190	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111110 - clr 0 - ld x - shl x
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  x
# Simulation concluded!
# ** Note: $stop    : /u/rseth/ece571_rwb/tb_rwb.sv(57)
#    Time: 195 ns  Iteration: 0  Instance: /test_rwb
# Break at /u/rseth/ece571_rwb/tb_rwb.sv line 57
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 500
# Simulation starting...
# 
#                    5	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000000101 - clr 1 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Walking a 1 across the register.
# 
#                   10	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 1b  0
#                   15	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   20	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000010100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   25	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   30	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   35	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000100011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   40	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   45	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   50	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   55	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   60	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000111100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   65	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   70	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   75	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001001011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   80	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   85	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   90	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   95	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011111 - clr 0 - ld 0 - shl 0
